"id","activity","description","longitude","latitude"
185,"Active","M4/3638B Eastbound",-2.27486757121409,51.5179489978239
186,"Active","M25/5825A Clockwise",0.274124640208291,51.5229305800508
187,"Inactive","M6/6656B Southbound",-2.33932975533586,53.1061781165328
188,"Active","M1/5008L Westbound",-1.52019685763864,53.7321943031426
189,"Active","A38/4696A Northbound",-1.34784805403429,53.0932302662112
190,"Inactive","M1/4174M Southbound",-1.3209528147206,53.099965859526
191,"Active","M42/6416M Southbound",-1.71384959264884,52.4383404116617
192,"Inactive","M1/3135A Northbound",-1.06529045874873,52.2481191499722
193,"Active","M25/4387A Clockwise",-0.026276149531773,51.2652831872562
194,"Active","M62/1962B Westbound",-1.74472982593984,53.7002004500296
195,"Inactive","M1/4283J Northbound",-1.32399669239401,53.1954285328942
196,"Inactive","M1/2949A Northbound",-0.847060010187666,52.1539236567407
197,"Active","M1/4081B Southbound",-1.24779117915923,53.0310716975615
198,"Inactive","M6/6943B Southbound",-2.47386816834708,53.3314026769953
199,"Active","M25/4916A Clockwise",-0.511283674897309,51.4653257344343
200,"Inactive","M62/1355B  Westbound",-2.46790104368682,53.4390654724309
201,"Active","M1/5115M Southbound",-1.42718767356945,53.7889954163897
202,"Inactive","M1/4627B Southbound",-1.42490129777095,53.4332625162595
203,"Active","M25/4712J Clockwise",-0.435498765001495,51.315683798588
204,"Active","M4/3143A Westbound",-1.59959181439359,51.5063693815139
205,"Active","M1/5191A Northbound",-1.33891703730943,53.82024338921
206,"Inactive","A2/8324B Westbound",0.292936696949937,51.430446438623
207,"Active","M25/4327B Anti-clockwise",0.056747797395697,51.2726132273912
208,"Active","M25/4144K Clockwise",0.191813231186664,51.3851045364471
209,"Active","M56/8124J Slip",-2.28384280587151,53.3740104361643
210,"Active","M56/8119B Eastbound",-2.28060079143738,53.3792315000433
211,"Active","M621/1023B Westbound",-1.61829082832428,53.7500275466008
212,"Active","M5/8335A Southbound",-2.58394976835497,51.5414356386164
213,"Active","M25/4277K Anti-clockwise",0.123880133397346,51.2870357690937
214,"Active","M4/3729B Eastbound",-2.39944417282548,51.4979706132157
215,"Inactive","M25/4365B Anti-clockwise",0.003685336578198,51.2682994800072
216,"Active","M1/2292B Southbound",-0.376273045012333,51.6831180490806
217,"Active","M6/6013A Northbound",-2.02631307464988,52.6128633042935
218,"Inactive","M4/2278M Eastbound",-0.495619693906165,51.4942342049304
219,"Active","M4/3243A Westbound",-1.73563989268975,51.52817212367
220,"Inactive","M62/1613B Westbound",-2.20505223378389,53.5770682445285
221,"Active","M1/4026A Northbound",-1.24039388891457,52.9852967806654
222,"Inactive","A45/7607B Eastbound",-0.524958765612957,52.3777033726009
223,"Active","M62/1917A Eastbound",-1.7996385494939,53.6803776757352
224,"Inactive","M1/3343A Northbound",-1.1863463521389,52.4174432740921
225,"Inactive","M4/2481B Eastbound",-0.759532100356486,51.4834125471358
226,"Active","M25/5479B Anti-clockwise",-0.037756467167476,51.6824262008267
227,"Active","M54/3217A Westbound",-2.21280713953436,52.6451269102623
228,"Active","M4/3594B Eastbound",-2.21327010709942,51.5115765941508
229,"Active","M1/2620B Southbound",-0.512183832743243,51.9550682832378
230,"Active","M1/2463B Southbound",-0.418584241800581,51.8295368974523
231,"Inactive","M2/8454B Westbound",0.460459338434422,51.3910843319829
232,"Active","M25/5101B Anti-clockwise",-0.514167706082632,51.6342536644569
233,"Active","A14/1212J Eastbound",0.388679865813717,52.2669729377035
234,"Active","M62/2107B Westbound",-1.59693803992465,53.7294915547333
235,"Inactive","M1/4672A Northbound",-1.45341223542023,53.4682902110301
236,"Active","M4/2188A Westbound",-0.369630211657794,51.489698850523
237,"Inactive","M1/4573A Northbound",-1.37038675565912,53.3974193935805
238,"Inactive","M27/9144J Eastbound",-1.43075012339799,50.9601743589251
239,"Active","M25/5300K Clockwise",-0.273140587612988,51.7159792018545
240,"Active","A168/9040B Southbound",-1.40304732040512,54.1620235289511
241,"Active","M4/3860B Eastbound",-2.54737411618442,51.5456586555773
242,"Active","M18/7628A Northbound",-1.17166094795931,53.4694039208587
243,"Active","M32/5069B Southbound",-2.5280962103214,51.5035941828822
244,"Inactive","M42/6642B Southbound",-1.63180463409772,52.617060768964
245,"Active","M25/4845B Anti-clockwise",-0.540425813301995,51.4078799952474
246,"Active","M25/5686B Anti-clockwise",0.223224694975395,51.6318144098046
247,"Inactive","M1/3297A Northbound",-1.16536153173507,52.3785930867974
248,"Inactive","M60/9172B Anti-clockwise",-2.36638067112909,53.4672756837938
249,"Inactive","A2/8295B Westbound",0.252544787816241,51.4273628796305
250,"Inactive","M42/6667B Southbound",-1.60984946226825,52.634538600799
251,"Inactive","M62/1678A Eastbound",-2.11444048570179,53.6006579915901
252,"Active","M62/2017L Westbound",-1.71676372035322,53.7440536352648
253,"Inactive","M4/2221B Eastbound",-0.41198185404703,51.4925282561458
254,"Inactive","A14/2014B Westbound",1.26724283840178,52.018614375585
